id,cell,soh,soc,temperature,M,mu,RMS_error
251,1.0,56.0,40.0,35.0,22,0.42367166627180375,0.026800272973261704
252,1.0,56.0,40.0,35.0,23,0.4439394005407924,0.026752998796858593
212,1.0,56.0,30.0,25.0,17,0.49933579010155227,0.16608786133697095
213,1.0,56.0,30.0,25.0,17,0.44297997603152917,0.17193827620044502
214,1.0,56.0,30.0,25.0,4,0.2836753329292345,0.1923392246328111
215,1.0,56.0,30.0,25.0,17,0.47405298909129734,0.20016297049779253
216,1.0,56.0,30.0,25.0,17,0.4628505725337989,0.1975748898508602
247,1.0,56.0,30.0,35.0,13,0.3865353161715974,0.1893568972911266
248,1.0,56.0,30.0,35.0,20,0.4833602835502717,0.2040324492316666
249,1.0,56.0,30.0,35.0,3,0.20207653661205605,0.18143606953474778
207,1.0,56.0,20.0,25.0,18,0.46319004579116063,0.21718739987928876
208,1.0,56.0,20.0,25.0,17,0.4819165626880513,0.2193804421052895
209,1.0,56.0,20.0,25.0,17,0.46508758474161815,0.2206314019460925
210,1.0,56.0,20.0,25.0,17,0.45821661327936314,0.21752714071470428
211,1.0,56.0,20.0,25.0,18,0.4896841855845939,0.21184577718949063
244,1.0,56.0,20.0,35.0,18,0.4346444272670744,0.1811701241471751
245,1.0,56.0,20.0,35.0,17,0.4870638411210024,0.18361130287540325
246,1.0,56.0,20.0,35.0,4,0.43645180269291284,0.20082169600462949
200,1.0,56.0,10.0,25.0,24,0.44292485497796175,0.011683268558505527
204,1.0,56.0,10.0,25.0,24,0.46029375605402634,0.011167587027528646
205,1.0,56.0,10.0,25.0,24,0.4550595445068204,0.012164668869560673
206,1.0,56.0,10.0,25.0,24,0.4260653444411814,0.011403673826782482
185,1.0,55.0,90.0,25.0,26,0.44452796793007654,0.010392630409280987
186,1.0,55.0,90.0,25.0,25,0.46276138786807486,0.010749596588408765
187,1.0,55.0,90.0,25.0,25,0.4524417412098233,0.010770368080493307
188,1.0,55.0,90.0,25.0,30,0.38781841219449165,0.010600454705520986
189,1.0,55.0,90.0,25.0,25,0.49765213710226464,0.010529671011218199
191,1.0,55.0,90.0,25.0,24,0.4954248900389683,0.010807624662217132
197,1.0,55.0,90.0,35.0,26,0.4958657881041173,0.010350032689193215
181,1.0,55.0,60.0,25.0,14,0.42951643463370326,0.9448964216645578
182,1.0,55.0,60.0,25.0,9,0.36946185344047067,0.903244045375833
183,1.0,55.0,60.0,25.0,16,0.4527699564091364,0.8346874908483515
184,1.0,55.0,60.0,25.0,19,0.4587938575957118,0.8487970670474498
179,1.0,55.0,50.0,25.0,29,0.4230491974074022,0.010402324402078835
180,1.0,55.0,50.0,25.0,25,0.47749270197960314,0.011349438229229628
196,1.0,55.0,50.0,35.0,29,0.4019859114110078,0.011109423256799969
173,1.0,55.0,40.0,25.0,24,0.45884882584894227,0.023711232172719383
174,1.0,55.0,40.0,25.0,26,0.36058002217529117,0.025981346274333832
175,1.0,55.0,40.0,25.0,21,0.4637890178993438,0.02343965734698754
176,1.0,55.0,40.0,25.0,22,0.4624420349829792,0.023203496258749182
195,1.0,55.0,40.0,35.0,25,0.4374659208238352,0.02689380133490097
169,1.0,55.0,30.0,25.0,4,0.42340213439932883,0.16741949838060555
170,1.0,55.0,30.0,25.0,17,0.44015629443192894,0.18127386999095518
171,1.0,55.0,30.0,25.0,17,0.484843342822325,0.20504407984445228
172,1.0,55.0,30.0,25.0,17,0.45685848177035693,0.17202097859292162
194,1.0,55.0,30.0,35.0,17,0.4355819419856546,0.18301670044037957
165,1.0,55.0,20.0,25.0,4,0.4467937987796887,0.21612699815489925
166,1.0,55.0,20.0,25.0,17,0.49740766041062356,0.2261541833435101
167,1.0,55.0,20.0,25.0,17,0.44502609633305845,0.21693776370909368
168,1.0,55.0,20.0,25.0,4,0.15354720062138094,0.19465108277635695
193,1.0,55.0,20.0,35.0,4,0.4587217366107814,0.18199179301128168
162,1.0,55.0,10.0,25.0,24,0.48700729887196126,0.01225288211863594
152,1.0,54.0,90.0,25.0,26,0.44956880762443396,0.010979532991966632
154,1.0,54.0,90.0,25.0,27,0.3624079518317366,0.010769350963070287
156,1.0,54.0,90.0,25.0,26,0.4505622590320576,0.01142059194806945
157,1.0,54.0,90.0,25.0,26,0.4518416807571709,0.011523844297296557
149,1.0,54.0,60.0,25.0,15,0.35311451435668517,1.0042309114993844
147,1.0,54.0,40.0,25.0,21,0.4631418666126217,0.02999247530043479
146,1.0,54.0,30.0,25.0,3,0.4294862245706239,0.18907645134082457
145,1.0,54.0,20.0,25.0,17,0.48216437433719006,0.1990511849874597
137,1.0,54.0,10.0,25.0,24,0.44107558917696477,0.011440025608263854
139,1.0,54.0,10.0,25.0,24,0.42041358252859085,0.012654009217590013
142,1.0,54.0,10.0,25.0,25,0.4901729775149891,0.010941183446841135
143,1.0,54.0,10.0,25.0,29,0.4767164996140092,0.07146710877053422
144,1.0,54.0,10.0,25.0,25,0.4488910759186324,0.011579143450909263
127,1.0,53.0,90.0,25.0,29,0.46106359213250925,0.01021851395908521
128,1.0,53.0,90.0,25.0,24,0.49139107105209356,0.010682647922856987
129,1.0,53.0,90.0,25.0,26,0.4705769053176495,0.01116132430537729
131,1.0,53.0,90.0,25.0,29,0.49121317258649777,0.01020474788626408
132,1.0,53.0,90.0,25.0,27,0.45830668696206356,0.01026955033280553
135,1.0,53.0,90.0,25.0,26,0.4588822339040548,0.010297429305184657
136,1.0,53.0,90.0,25.0,25,0.4882271474553268,0.010640294978883837
116,1.0,53.0,10.0,25.0,24,0.487226117222449,0.011442326380614659
117,1.0,53.0,10.0,25.0,24,0.42383267382185086,0.030234011585874392
118,1.0,53.0,10.0,25.0,24,0.4537524358024929,0.012669365094562608
120,1.0,53.0,10.0,25.0,24,0.4269855749585362,0.012273007543585002
123,1.0,53.0,10.0,25.0,24,0.45169376884807033,0.011028651902390739
105,1.0,52.0,90.0,25.0,27,0.45059366148000457,0.0100151147814689
107,1.0,52.0,90.0,25.0,26,0.4692350973391214,0.010129135305062386
109,1.0,52.0,90.0,25.0,26,0.4426274285864428,0.01013313170015369
112,1.0,52.0,90.0,25.0,26,0.47729680353458415,0.010147133666977793
95,1.0,52.0,10.0,25.0,24,0.4449437793926734,0.012877057575884568
96,1.0,52.0,10.0,25.0,24,0.4953254285861991,0.012727496103618244
97,1.0,52.0,10.0,25.0,24,0.4363275581206464,0.011064122338881445
100,1.0,52.0,10.0,25.0,30,0.38576473672628475,0.010209307172017144
101,1.0,52.0,10.0,25.0,25,0.47594518459339263,0.011040556270229294
102,1.0,52.0,10.0,25.0,24,0.47908303413854536,0.011595971453355024
103,1.0,52.0,10.0,25.0,24,0.4441097273583151,0.01266225679866623
86,1.0,51.0,90.0,25.0,24,0.4547415856783542,0.010150466115149376
88,1.0,51.0,90.0,25.0,25,0.4903916099526603,0.021330792110267418
89,1.0,51.0,90.0,25.0,27,0.49673673431026855,0.010134076415386484
90,1.0,51.0,90.0,25.0,26,0.4717380324463525,0.010240212953303579
92,1.0,51.0,90.0,25.0,25,0.47645083836643565,0.010137000360953968
93,1.0,51.0,90.0,25.0,26,0.4740256392319643,0.01009705767093517
94,1.0,51.0,90.0,25.0,27,0.4786261159572538,0.010446064627345465
77,1.0,51.0,10.0,25.0,25,0.3793196477611609,0.010406672698113559
78,1.0,51.0,10.0,25.0,24,0.4452314400651607,0.011992638743891048
79,1.0,51.0,10.0,25.0,25,0.4067721914202773,0.029322987278467563
81,1.0,51.0,10.0,25.0,24,0.4165389031251734,0.012562846017739786
84,1.0,51.0,10.0,25.0,24,0.45635320760075726,0.01143391154361344
85,1.0,51.0,10.0,25.0,24,0.4296186401727403,0.012786676056531292
67,1.0,50.0,90.0,25.0,25,0.4941080586108664,0.01035800261133157
68,1.0,50.0,90.0,25.0,27,0.4481543975429335,0.010261942681692478
70,1.0,50.0,90.0,25.0,27,0.4649479936981742,0.010107801015777497
71,1.0,50.0,90.0,25.0,25,0.4617850824865939,0.010342498557548775
72,1.0,50.0,90.0,25.0,26,0.45678059719020203,0.01104299825074656
57,1.0,50.0,10.0,25.0,24,0.41873317452048975,0.011999373410674617
60,1.0,50.0,10.0,25.0,25,0.3903187191583045,0.010351869084512863
62,1.0,50.0,10.0,25.0,24,0.4107641941133492,0.01265001132589376
64,1.0,50.0,10.0,25.0,24,0.45913494762424234,0.012210799266555944
65,1.0,50.0,10.0,25.0,24,0.4484669552457744,0.012064325858956218
53,1.0,49.0,90.0,25.0,25,0.48088566429691315,0.010570930127220263
54,1.0,49.0,90.0,25.0,26,0.45653646657338287,0.01026236176995079
