cell,id,temperature,soh,soc,RMS_error,L0,R0,R1,CPE1_0,CPE1_1,R2,CPE2_0,CPE2_1,CPE3_0,CPE3_1
2.0,5476,35.0,71.0,40.0,0.015296013787204861,3.574478827521495e-07,0.4623107078349773,0.2932867102370616,0.037569040876220636,0.9432402671288945,0.29374942864682274,0.04386333045757059,0.5259680919867824,8.875517162930436,0.6078679885807925
2.0,5397,35.0,71.0,10.0,0.009012694979417464,2.81472042488244e-07,0.4946897242284584,0.3963683165900129,0.0677146949207558,0.4715277073626218,0.45631697876445304,0.05271080560020143,0.9532242753111418,8.193604341701176,0.6326564842843243
2.0,5398,35.0,71.0,10.0,0.009110463387137975,2.9084794290581406e-07,0.4886244078585994,0.4579886236979813,0.05268660759807481,0.951143932567707,0.39597899047157586,0.06607628331517643,0.4721401955810979,8.185060175610083,0.6313350264807104
2.0,5399,35.0,71.0,10.0,0.009470834530947582,2.997528885078755e-07,0.48761330175261725,0.39638431800283436,0.06630220069757344,0.4724176523631625,0.45531011378900993,0.052450696201908384,0.9532802765467016,8.14783770402905,0.6290335312295672
2.0,5400,35.0,71.0,10.0,0.009260649756721506,2.8268849720229344e-07,0.4848800537829735,0.4553481393597521,0.05271974903745485,0.9514184293148106,0.3961614655992185,0.06656460816711886,0.4739413091654692,8.214316074016535,0.6320543288135149
2.0,5401,35.0,71.0,10.0,0.009741445156214668,2.9536625278535607e-07,0.47653654634990367,0.45076434278349775,0.05141945830663831,0.9581461817947515,0.395734733774024,0.062416213986757355,0.4803338026812428,8.120487060190055,0.612221122343293
2.0,5402,35.0,71.0,10.0,0.007834366711915943,2.815705798745577e-07,0.4870500988573782,0.4522601521795497,0.05293344876554252,0.9528112532025318,0.39870523162582516,0.06923064039473406,0.46925256438504975,8.390599006880514,0.6324666484008303
2.0,5403,35.0,71.0,10.0,0.008002593438874944,2.878697852594861e-07,0.47904060606010557,0.40295202014722675,0.0675332801865376,0.4704434182444923,0.4554693641650203,0.05305708022314025,0.9518092205681539,8.41292599854669,0.638771041811847
2.0,5404,35.0,71.0,10.0,0.008041586296770192,2.9242311183133094e-07,0.48355481146193613,0.453604616966333,0.05323625725517034,0.9508688417923958,0.4004478699678319,0.06849925624181855,0.4697965466581121,8.386289061186252,0.6398339284856983
2.0,5405,35.0,71.0,10.0,0.008516057658118161,2.9070946141747204e-07,0.4776977811384971,0.39875862731001005,0.06687170650093008,0.4731930533021663,0.45414126959270984,0.052901066568206284,0.9498330839040265,8.34168900546781,0.6377666644873208
2.0,5406,35.0,71.0,10.0,0.009907763588720893,2.842306278292846e-07,0.4880462252935082,0.45254175811236963,0.05166105097234657,0.9556718354165384,0.38944785905560825,0.06386184399074117,0.4788999062236867,8.031687930054815,0.6102149096263676
2.0,5407,35.0,71.0,10.0,0.010207645563333714,2.8179819408784807e-07,0.48115175821490674,0.39285264391948166,0.06265845851649898,0.4826076335244733,0.44659841047603877,0.05154450017134884,0.9594567279080661,7.994521905209375,0.6113546601696023
2.0,5408,35.0,71.0,10.0,0.007650268184795642,2.9726286861336057e-07,0.4847893432190282,0.45174437973208253,0.05282305239597204,0.9511347664088695,0.3970837067073145,0.06726398502240157,0.47024976957990716,8.377996127935907,0.6320954162314673
2.0,5409,35.0,71.0,10.0,0.00990229081201798,2.9227875106559734e-07,0.47477049784672815,0.45129146171465356,0.05240394864035036,0.9544385221493714,0.39934476917463363,0.06419403792450175,0.47764536467612184,8.12012610967397,0.6236020451720828
2.0,5410,35.0,71.0,10.0,0.010339990531243714,2.861347389413238e-07,0.48705597303729437,0.39386551068150155,0.06402470803690034,0.47889247739823154,0.4453921928184746,0.051944566987859556,0.9581265158440117,7.979504240235727,0.6123658595805703
