id,cell,soh,soc,temperature,M,mu,RMS_error
8279,2.0,92.0,10.0,35.0,23,0.49395467140642835,0.007249740696343816
8295,2.0,92.0,10.0,45.0,22,0.4965335848443444,0.009410195870427853
8296,2.0,92.0,10.0,45.0,23,0.4000505811714813,0.009057480160884498
8297,2.0,92.0,10.0,45.0,24,0.41132684436477296,0.009552680212600714
8298,2.0,92.0,10.0,45.0,24,0.44239784188463127,0.008491208419502646
8299,2.0,92.0,10.0,45.0,22,0.42592163206625866,0.00915728296057284
8300,2.0,92.0,10.0,45.0,22,0.44182442334124483,0.01029481336313892
8301,2.0,92.0,10.0,45.0,22,0.46968523407211915,0.010955858651532466
8302,2.0,92.0,10.0,45.0,26,0.3646058779824235,0.008465933842458442
8303,2.0,92.0,10.0,45.0,24,0.41820948287375426,0.008868946358048808
8304,2.0,92.0,10.0,45.0,22,0.426729862702541,0.01103459093585087
8305,2.0,92.0,10.0,45.0,22,0.44770601531745735,0.011161166265449374
8215,2.0,91.0,90.0,35.0,26,0.42754056941893115,0.006619275628992494
8216,2.0,91.0,90.0,35.0,26,0.3651707386502332,0.0066789564113170306
8267,2.0,91.0,90.0,45.0,26,0.41814997825630906,0.006282287164044936
8268,2.0,91.0,90.0,45.0,24,0.44024370457331063,0.008445755817286155
8269,2.0,91.0,90.0,45.0,23,0.48532660958410034,0.008550670246327276
8270,2.0,91.0,90.0,45.0,22,0.4985885580768923,0.00879304648757878
8271,2.0,91.0,90.0,45.0,22,0.49790968591178675,0.008085251601277382
8272,2.0,91.0,90.0,45.0,26,0.3968754034051636,0.00655325340546655
8273,2.0,91.0,90.0,45.0,27,0.4338949377666178,0.006415955843115057
8274,2.0,91.0,90.0,45.0,23,0.47071335051790264,0.0075217114188868405
8275,2.0,91.0,90.0,45.0,27,0.3715213644679398,0.006459315453217823
8276,2.0,91.0,90.0,45.0,22,0.4672230060686512,0.008969110888402462
8213,2.0,91.0,50.0,35.0,25,0.4919029350385148,0.002627685747778344
8214,2.0,91.0,50.0,35.0,24,0.4207479124302713,0.0034776716383513036
8257,2.0,91.0,50.0,45.0,25,0.41320534389471386,0.004017129953319003
8258,2.0,91.0,50.0,45.0,27,0.46803623220667245,0.003261030331107518
8259,2.0,91.0,50.0,45.0,23,0.4386686410199645,0.0043035037859660745
8260,2.0,91.0,50.0,45.0,25,0.4893611166829088,0.003476377644380607
8261,2.0,91.0,50.0,45.0,23,0.45993222241500054,0.0036822640800808306
8262,2.0,91.0,50.0,45.0,24,0.4890132987604876,0.0037977371510171756
8263,2.0,91.0,50.0,45.0,23,0.4606144395983496,0.004013540223832176
8264,2.0,91.0,50.0,45.0,26,0.3995668808620676,0.003593024646659346
8265,2.0,91.0,50.0,45.0,26,0.4992273264905299,0.0034474025810609784
8266,2.0,91.0,50.0,45.0,25,0.46721735591245683,0.003811953002770467
8211,2.0,91.0,40.0,35.0,22,0.48051023852747965,0.013984535280470431
8212,2.0,91.0,40.0,35.0,21,0.4449638715623684,0.014440763354900093
8247,2.0,91.0,40.0,45.0,21,0.4176461656976441,0.012619070643251566
8248,2.0,91.0,40.0,45.0,22,0.34602342784293405,0.01084306081018154
8249,2.0,91.0,40.0,45.0,25,0.4034081596279512,0.010689228777761501
8250,2.0,91.0,40.0,45.0,27,0.42812593753747585,0.011832684600388629
