cell,id,temperature,soh,soc,RMS_error,L0,R0,R1,CPE1_0,CPE1_1,R2,CPE2_0,CPE2_1,CPE3_0,CPE3_1
2.0,5410,35.0,71.0,10.0,0.010339990531242425,2.861348351196086e-07,0.48705593799992575,0.3938656291302563,0.06402476480055594,0.47889235086379556,0.4453921354072092,0.05194456871681297,0.9581265431451181,7.979505099728026,0.6123658919514213
2.0,5411,35.0,71.0,10.0,0.010270769767023452,2.8659062173057074e-07,0.479578875698869,0.39371719630472657,0.06324425244769283,0.48053784169602815,0.4504315575424309,0.05193646690535718,0.9548978145022464,8.049747290757836,0.6162945494330059
2.0,5412,35.0,71.0,10.0,0.007906782895059881,3.05063036370356e-07,0.4768566801348049,0.45035219760017325,0.05271061785373657,0.9514303800730952,0.403695890186457,0.0685033320515519,0.4672955559449696,8.44867458146937,0.6384758072445555
2.0,5413,35.0,71.0,10.0,0.010313388783588884,2.8240978720302016e-07,0.48269271349939724,0.45001777162652423,0.05176187359370867,0.9550437985640983,0.39115798133768415,0.06365238397471457,0.4788452624599061,8.014033687646592,0.615505694414504
2.0,5414,35.0,71.0,10.0,0.008985747696283776,2.9266694224444684e-07,0.47679547045586057,0.39789887081237935,0.06611093877695315,0.4740151515432837,0.4490107225587943,0.05295273030761537,0.9508138862217069,8.249733848961665,0.633338485609461
2.0,5415,35.0,71.0,10.0,0.007787016636256762,2.894563415024122e-07,0.4766370077082675,0.4522108543119404,0.052884902319254225,0.9509958982004235,0.40054681790594776,0.06731574932950245,0.4726162639049029,8.468950322275333,0.6400223965663356
2.0,5416,35.0,71.0,10.0,0.007840222887926313,2.9636217426922496e-07,0.4811533735871743,0.40454741507180697,0.06803521843005492,0.47037978206589454,0.44408348298613654,0.053010460338149656,0.9550461345449427,8.432869528185702,0.6329135239431845
2.0,5369,35.0,70.0,90.0,0.00981191812864639,2.625007057168966e-07,0.5210291069995706,0.4775300268175315,0.053803573591296394,0.955469604405454,0.4011983140054667,0.06951275111753866,0.46891039276034274,7.836641606847032,0.6181533687674938
2.0,5370,35.0,70.0,90.0,0.008666242130229167,2.8857412462042413e-07,0.5176163959450802,0.40886283215054486,0.07270238520766437,0.45833877200847895,0.48488166793576304,0.054664061488971065,0.9494763690449942,8.00960233119445,0.6352462157963077
2.0,5371,35.0,70.0,90.0,0.00901578847208773,2.7129002999397706e-07,0.5129979119720298,0.4786467321137652,0.05401111092377868,0.9550043843254464,0.40665961839696035,0.0705185761526331,0.4663681014316204,8.006571962071584,0.6215168585382375
2.0,5372,35.0,70.0,90.0,0.008335394209874407,2.7658585166404064e-07,0.5117535390218135,0.4101714569612946,0.07131897660364452,0.4635595278067321,0.4800044574672673,0.0543155723819419,0.954612868499052,8.089621345472468,0.6270749686079149
2.0,5373,35.0,70.0,90.0,0.008081229273172444,2.7615853385978077e-07,0.5007489074514784,0.40677048632802104,0.06991108783693512,0.46539748188412855,0.47357085416729877,0.05391760919056042,0.9530496511198207,8.235299700341363,0.6301993275216278
2.0,5374,35.0,70.0,90.0,0.009798625454841017,2.7901462297192054e-07,0.500514639917108,0.47527726960425887,0.05329094071691762,0.9551904493753616,0.40293398553929144,0.06786242879189212,0.4694113996561912,7.962338457971509,0.6210387529158428
2.0,5375,35.0,70.0,90.0,0.008970101277283524,2.714103227502727e-07,0.5104278204463839,0.4733545171540491,0.05335446857801487,0.9557506144575784,0.39864171145292143,0.06862931790613178,0.47098920361037083,7.989930726457699,0.6189283572360976
2.0,5376,35.0,70.0,90.0,0.009847852726954449,2.8491077676760194e-07,0.5181209820968853,0.4084741953926514,0.07037316051316278,0.4611352075581766,0.4840622571366227,0.05433719909938815,0.9521795249385553,7.849208722223255,0.6255512797525121
2.0,5377,35.0,70.0,90.0,0.009503873970195758,2.7882304215388776e-07,0.5026096159981477,0.3965468947472361,0.0676512795985794,0.47094898002135,0.4729765173054693,0.05311301103407597,0.9544531334719277,7.987174512099327,0.6182781209863045
2.0,5378,35.0,70.0,90.0,0.009999683733703359,2.7754621723624017e-07,0.5212440695622953,0.4062986407505999,0.07097372398143668,0.46346200810621835,0.48067245573830475,0.054435198863892344,0.9540744914432864,7.804236075749093,0.6214555256760793
2.0,5379,35.0,70.0,90.0,0.009538486008513095,2.911873792396207e-07,0.5180557487104066,0.48162780914883413,0.0546797086839774,0.9518474086025214,0.4078150483159483,0.07142857895887425,0.4606535029535746,7.88714646685693,0.6284914471360723
2.0,5380,35.0,70.0,90.0,0.00808615366519582,2.8120716792730177e-07,0.5182775133351545,0.4863276920555798,0.054763878598835795,0.9509428715255351,0.4097074900910648,0.07184239743922069,0.4606138204957107,8.046345585929826,0.6322984008745443
2.0,5381,35.0,70.0,90.0,0.009594082426304117,2.839292402843916e-07,0.4948264743560233,0.46376370179053916,0.05308094298147586,0.9543252051979415,0.40097899638691087,0.06670979967611768,0.4723514474565714,8.108898854113171,0.6255050804759857
2.0,5382,35.0,70.0,90.0,0.008099299295725722,2.8142234907163293e-07,0.5117043058509481,0.4115659522223432,0.07261919271090729,0.4596943337682702,0.4822601157637455,0.05462942277047746,0.9513598024688933,8.140877961404282,0.635876272274461
2.0,5383,35.0,70.0,90.0,0.008137342909867293,2.8626882037346476e-07,0.5045549508755368,0.4057330093148851,0.07244542212530602,0.46220227272677233,0.47132205610169065,0.05407695137686835,0.9528665514648011,8.235540716965026,0.6377403420892342
2.0,5384,35.0,70.0,90.0,0.00806977162415377,2.853632193611284e-07,0.49773598480406644,0.46744826011816504,0.05380819134737061,0.9534932941862282,0.4065843460715509,0.070137616342344,0.4653582329659052,8.25444404568134,0.6329234024843688
2.0,5385,35.0,70.0,90.0,0.008233207951579854,2.8089968865479216e-07,0.4960899956606372,0.46990528651889407,0.05372461355085746,0.9504450164982352,0.40353571821778683,0.06879148746478804,0.46638676579905286,8.228946191291067,0.6371903458006185
2.0,5386,35.0,70.0,90.0,0.008102916822410914,2.801317821995951e-07,0.505203743403607,0.4075674595694815,0.07188866515422118,0.4608685982870455,0.48230041022377046,0.054272746834172124,0.9490956584882299,8.182046071341077,0.6376568430429126
2.0,5387,35.0,70.0,90.0,0.00808513468617566,2.851239724177058e-07,0.49749496222924106,0.46903936510974903,0.05406098683423493,0.9515934372898917,0.4059020520758214,0.0700763705760572,0.46444913278596084,8.259402670165468,0.6333402249800256
